controller,mean_waiting_time_mean,mean_waiting_time_std,max_waiting_time_mean,max_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,mean_queue_length_mean,mean_queue_length_std,max_queue_length_mean,max_queue_length_std,episode_reward_mean,episode_reward_std
Fixed-time,134.89194444444448,3.989918468179027,516.4,42.476346358885436,97122.2,2872.741297088897,9.817222222222224,0.21054676029710082,24.6,1.019803902718557,-97.12220000000006,2.8727412970888766
Max-Pressure,12.376111111111111,1.0637421569831718,95.6,34.46505476566083,8910.8,765.8943530278833,2.7419444444444445,0.1007433789142577,11.2,1.469693845669907,-8.91079999999998,0.7658943530278782
DQN,11.891111111111112,0.8933251277953719,87.0,7.92464510246358,8561.6,643.1940920126676,2.695,0.11356525833737427,10.4,0.48989794855663565,-8.561599999999979,0.6431940920126664
PPO,11.820833333333333,0.9782404997282835,82.2,15.942396306703706,8511.0,704.3331598043642,2.6847222222222222,0.11964131063255927,10.8,1.32664991614216,-8.510999999999978,0.7043331598043618
