controller,mean_waiting_time_mean,mean_waiting_time_std,max_waiting_time_mean,max_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,mean_queue_length_mean,mean_queue_length_std,max_queue_length_mean,max_queue_length_std,episode_reward_mean,episode_reward_std
Fixed-time,49.06805555555555,1.0499496607568652,292.8,19.833305322109073,35329.0,755.9637557449431,5.561666666666666,0.11307500515199406,18.0,1.2649110640673518,-35.329000000000036,0.755963755744949
DQN (full),14.342222222222222,1.154095164251262,86.8,24.30144028653446,10326.4,830.9485182609088,3.22,0.1921724405672683,12.2,2.1354156504062622,-10.326399999999975,0.8309485182609069
DQN (no_density),13.542222222222222,0.7674103679515323,86.2,11.93984924527944,9750.4,552.5354649251033,3.125,0.12502468891985363,11.6,2.244994432064365,-9.750399999999981,0.5525354649250996
DQN (no_waiting),12.495277777777778,0.474299841351621,82.2,5.3814496188294845,8996.6,341.4958857731671,2.9786111111111113,0.07202215879869679,12.0,1.0954451150103321,-8.996599999999976,0.34149588577316375
DQN (no_phase),13.06527777777778,1.0514191614605561,85.8,12.302845199383759,9407.0,757.0217962516007,3.069444444444444,0.17108495471079588,11.6,1.4966629547095764,-9.406999999999979,0.7570217962516005
DQN (queue_only),13.16472222222222,1.0143163482469302,90.6,15.21315220458929,9478.6,730.3077707377896,3.1177777777777775,0.14917830494635165,12.2,1.1661903789690602,-9.478599999999982,0.7303077707377896
