controller,mean_waiting_time_mean,mean_waiting_time_std,max_waiting_time_mean,max_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,mean_queue_length_mean,mean_queue_length_std,max_queue_length_mean,max_queue_length_std,episode_reward_mean,episode_reward_std
Fixed-time,3069.3650000000002,7.333340824912095,4086.2,54.17896270694004,2209942.8,5280.005393936639,166.72944444444448,0.4574633156715237,207.2,1.1661903789690602,-2209.9428,5.280005393936096
Max-Pressure,2300.7272222222223,175.02247247818363,7254.2,601.5045801986881,1656523.6,126016.1801842922,138.23472222222222,6.664738957406392,272.2,15.184202316881846,-1656.5236,126.01618018429212
DQN,22244.575833333336,27584.838220266538,111707.0,125667.01952541088,16016094.6,19861083.518591903,116.47555555555554,34.92988998261419,229.6,67.54139471464889,-16016.0946,19861.08351859191
PPO,5680.465833333334,2079.0434828744105,41347.8,14018.916668558952,4089935.4,1496911.307669576,156.63333333333335,14.806746356114871,306.6,5.885575587824865,-4089.9353999999994,1496.9113076695758
