controller,mean_waiting_time_mean,mean_waiting_time_std,max_waiting_time_mean,max_waiting_time_std,total_waiting_time_mean,total_waiting_time_std,mean_queue_length_mean,mean_queue_length_std,max_queue_length_mean,max_queue_length_std,episode_reward_mean,episode_reward_std
Fixed-time,49.06805555555555,1.0499496607568652,292.8,19.833305322109073,35329.0,755.9637557449431,5.561666666666666,0.11307500515199406,18.0,1.2649110640673518,-35.329000000000036,0.755963755744949
DQN (waiting_time),14.342222222222222,1.154095164251262,86.8,24.30144028653446,10326.4,830.9485182609088,3.22,0.1921724405672683,12.2,2.1354156504062622,-10.326399999999975,0.8309485182609069
DQN (queue_length),14.988055555555556,0.9453894781687062,89.4,11.740528097151337,10791.4,680.6804242814685,3.2361111111111116,0.176794153861224,12.4,1.4966629547095764,-2.3299999999999788,0.12729179078007982
DQN (combined),13.415555555555557,1.1486779169071386,86.2,18.015548839821673,9659.2,827.0481001731398,3.115277777777778,0.21148358953350327,12.2,2.227105745132009,-5.951099999999988,0.48962949257576266
